datetime,datetimeEpoch,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,source,date,datetime_full
00:00:00,1754949600,19.9,19.9,71.79,14.6,0.0,0.0,0.0,0.0,,12.9,12.2,50.0,1020.1,14.3,36.2,0.0,0.0,0.0,10.0,Partially cloudy,partly-cloudy-night,"['06260099999', '06348099999', '06249099999', 'C0449', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 00:00:00
01:00:00,1754953200,19.0,19.0,75.91,14.7,0.0,0.0,0.0,0.0,,15.1,13.7,59.0,1020.1,15.1,33.9,0.0,0.0,0.0,10.0,Partially cloudy,partly-cloudy-night,"['06260099999', '06348099999', '06249099999', 'C0449', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 01:00:00
02:00:00,1754956800,19.0,19.0,73.04,14.1,0.0,0.0,0.0,0.0,,16.7,13.7,75.0,1019.2,15.2,27.9,0.0,0.0,0.0,10.0,Partially cloudy,partly-cloudy-night,"['D3248', '06260099999', '06348099999', '06249099999', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 02:00:00
03:00:00,1754960400,19.3,19.3,72.83,14.3,0.0,0.0,0.0,0.0,,16.3,14.6,79.0,1019.1,14.5,100.0,0.0,0.0,0.0,10.0,Overcast,cloudy,"['06260099999', '06348099999', '06249099999', 'C0449', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 03:00:00
04:00:00,1754964000,19.2,19.2,73.21,14.3,0.0,0.0,0.0,0.0,,15.9,10.4,85.0,1019.0,13.8,100.0,0.0,0.0,0.0,10.0,Overcast,cloudy,"['D3248', '06260099999', '06348099999', '06249099999', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 04:00:00
05:00:00,1754967600,17.7,17.7,79.8,14.2,0.0,0.0,0.0,0.0,,14.2,7.8,78.0,1018.1,13.0,94.0,0.0,0.0,0.0,10.0,Overcast,cloudy,"['06260099999', '06348099999', '06249099999', 'C0449', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 05:00:00
06:00:00,1754971200,17.5,17.5,84.14,14.8,0.0,0.0,0.0,0.0,,10.8,10.4,72.0,1018.0,12.5,12.1,0.0,0.0,0.0,10.0,Clear,clear-night,"['06260099999', '06348099999', '06249099999', 'C0449', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 06:00:00
07:00:00,1754974800,18.3,18.3,80.29,14.9,0.0,0.0,0.0,0.0,,11.1,7.7,77.0,1017.2,12.4,100.0,23.0,0.1,0.0,10.0,Overcast,cloudy,"['06260099999', '06348099999', '06249099999', 'C0449', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 07:00:00
08:00:00,1754978400,18.7,18.7,79.18,15.0,0.0,0.0,0.0,0.0,,16.6,8.0,75.0,1017.2,13.0,15.9,91.0,0.3,1.0,10.0,Clear,clear-day,"['D3248', '06260099999', '06348099999', '06249099999', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 08:00:00
09:00:00,1754982000,20.5,20.5,68.51,14.5,0.0,0.0,0.0,0.0,,14.7,9.7,67.0,1017.0,13.9,15.0,105.0,0.4,1.0,10.0,Clear,clear-day,"['D3248', '06260099999', '06348099999', '06249099999', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 09:00:00
10:00:00,1754985600,21.6,21.6,65.67,14.9,0.0,0.0,0.0,0.0,,14.8,8.4,95.0,1017.1,15.1,45.0,341.0,1.2,3.0,10.0,Partially cloudy,partly-cloudy-day,"['06260099999', '06249099999', 'C0449', '06240099999', '06269099999', '06235099999', '06344099999']",obs,2025-08-12,2025-08-12 10:00:00
11:00:00,1754989200,23.2,23.2,60.34,15.1,0.0,0.0,0.0,0.0,,22.7,10.3,88.0,1017.1,14.0,41.2,518.0,1.9,5.0,10.0,Partially cloudy,partly-cloudy-day,"['06260099999', '06348099999', '06249099999', 'C0449', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 11:00:00
12:00:00,1754992800,24.9,24.9,53.08,14.7,0.0,0.0,0.0,0.0,,13.9,9.1,106.0,1016.2,13.8,100.0,570.0,2.1,6.0,10.0,Overcast,cloudy,"['D3248', '06260099999', '06348099999', '06249099999', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 12:00:00
13:00:00,1754996400,27.3,27.4,45.13,14.3,0.0,0.0,0.0,0.0,,19.5,15.5,88.0,1015.2,15.1,100.0,799.0,2.9,8.0,10.0,Overcast,cloudy,"['D3248', '06260099999', '06348099999', '06249099999', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 13:00:00
14:00:00,1755000000,27.9,27.8,43.91,14.5,0.0,0.0,0.0,0.0,,23.7,14.3,65.0,1015.1,16.1,92.0,708.0,2.5,7.0,10.0,Overcast,cloudy,"['06260099999', '06348099999', '06249099999', 'C0449', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 14:00:00
15:00:00,1755003600,28.8,28.6,41.32,14.4,0.0,0.0,0.0,0.0,,20.5,15.9,76.0,1014.2,15.8,46.2,759.0,2.7,8.0,10.0,Partially cloudy,partly-cloudy-day,"['06260099999', '06348099999', '06249099999', 'C0449', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 15:00:00
16:00:00,1755007200,28.9,28.8,42.67,15.0,0.0,0.0,0.0,0.0,,25.2,16.3,69.0,1014.1,15.6,36.2,612.0,2.2,6.0,10.0,Partially cloudy,partly-cloudy-day,"['06260099999', '06348099999', '06249099999', 'C0449', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 16:00:00
17:00:00,1755010800,29.0,28.9,42.67,15.1,0.0,0.0,0.0,0.0,,25.4,16.2,71.0,1013.2,15.6,0.0,490.0,1.8,5.0,10.0,Clear,clear-day,"['06260099999', '06348099999', '06249099999', 'C0449', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 17:00:00
18:00:00,1755014400,29.6,29.4,41.62,15.2,0.0,0.0,0.0,0.0,,24.2,13.1,61.0,1013.1,14.7,30.0,327.0,1.2,3.0,10.0,Partially cloudy,partly-cloudy-day,"['06260099999', '06348099999', '06249099999', 'C0449', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 18:00:00
19:00:00,1755018000,28.8,29.0,46.36,16.1,0.0,0.0,0.0,0.0,,20.3,12.8,53.0,1013.1,15.6,12.1,181.0,0.7,2.0,10.0,Clear,clear-day,"['06260099999', '06348099999', '06249099999', 'C0449', '06240099999', '06269099999', '06257099999']",obs,2025-08-12,2025-08-12 19:00:00
